Order_ID,Date,Region,Product,Sales,Profit
1001,2026-01-05,North,Laptop,50000,8000
1002,2026-01-08,South,Mouse,1200,250
1003,2026-01-12,East,Keyboard,1800,400
1004,2026-01-15,West,Monitor,12000,2500
1005,2026-02-03,North,Mouse,1500,300
1006,2026-02-07,South,Laptop,52000,8500
1007,2026-02-12,East,Monitor,11000,2200
1008,2026-02-15,West,Keyboard,2000,500
1009,2026-03-04,North,Laptop,51000,8200
1010,2026-03-09,South,Monitor,11500,2400
1011,2026-03-15,East,Mouse,1300,250
1012,2026-03-20,West,Laptop,53000,8700
